Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
14	-166.27882	83.177185	-83.10164	-249.45601	0.0	0.0	0.0	0.0	371.5	0.0	0.0	-48.510372	0.023643408	-48.427357	-48.53772	-0.0016853268	0.0010414175	0.0001702033	-0.0036111772	2.157688e-08	-0.0057187257	6.6647772e-12	-1.9025152e-06	313.5367	-25.068542	3.443561e-06	-3.3900226e-06	0	0	5.0	3.7085705	0.017578997	15000	77.12548899650574
15	-191.6788	43.45201	-148.22679	-235.13081	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-46.859642	0.07039825	-46.745213	-46.938053	0.0002952626	0.00054691784	0.0021701925	-0.0007606145	4.2274593e-08	-0.00360081	1.9208528e-12	-1.2356893e-06	185.23662	-21.12436	1.6333288e-07	-1.1653155e-07	0	0	5.0	3.7089877	0.014926941	16000	82.19200873374939
16	-222.37793	11.846031	-210.53189	-234.22395	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-45.352264	0.034669265	-45.26998	-45.40271	0.0016634664	0.0009739169	0.0038611274	-0.0005496944	-3.5822392e-08	-0.0045413855	-1.0477379e-11	2.7430074e-06	32.772057	-0.17554092	1.5180365e-06	-1.2187161e-06	0	0	6.0	3.7076159	0.011789564	17000	87.39348530769348
17	-185.79636	15.552849	-170.24352	-201.34921	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-45.043053	0.055705283	-44.923767	-45.138756	-0.0013161481	0.0008601402	0.00060865545	-0.0040220437	1.5616417e-08	-0.0067529622	-6.868504e-12	-1.5409022e-06	105.09727	-26.359077	1.2174797e-06	-1.1060496e-06	0	0	5.0	3.7051926	0.017717827	18000	92.5075352191925
18	-188.62756	47.078575	-141.549	-235.70615	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-43.348194	0.06382705	-43.233192	-43.47063	-0.0003590625	0.0006779028	0.0012818391	-0.0018422555	-3.2275913e-08	-0.015604417	5.878974e-12	-2.2771437e-06	146.16862	-6.5944214	3.900132e-07	-2.485837e-07	0	0	79.0	3.7041025	0.010444805	19000	97.8118166923523
19	-226.11914	66.965355	-159.1538	-293.0845	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-42.43857	0.07678851	-42.27971	-42.536827	0.00020602372	0.0011495062	0.0026303972	-0.0017940374	5.982816e-08	-0.00993043	-1.3853424e-11	3.8901176e-06	231.76906	-2.9493866	1.0637301e-06	-4.902995e-08	0	0	79.0	3.7214456	0.009629998	20000	103.10305261611938
20	-171.89136	27.870804	-144.02055	-199.76216	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-42.68524	0.29239696	-42.12714	-43.0325	0.00071359193	0.00093749695	0.003229249	-0.001137948	-9.143353e-08	-0.01620324	-9.284122e-12	1.2278103e-06	94.19481	-42.995506	6.5593446e-07	-5.592751e-07	0	0	79.0	3.7258272	0.010183495	21000	108.39227175712585
21	-124.188736	19.364899	-104.82384	-143.55363	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-39.68705	0.7632624	-38.473385	-40.704327	4.0478648e-05	0.00034445708	0.0008325858	-0.0010583343	3.4809112e-08	-0.011337092	-4.5984054e-12	-7.174441e-08	193.94298	-166.0055	1.1378674e-07	-7.53119e-08	0	0	79.0	3.8085518	0.008122486	22000	113.67186236381531
22	-180.2352	35.931274	-144.30392	-216.16647	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-28.409021	1.6114249	-25.22505	-30.90202	-0.0009827358	0.001010677	0.0010031828	-0.003293798	-1.001358e-08	-0.016492514	1.915032e-11	1.1221967e-06	100.930695	-62.497658	9.306972e-07	-7.503121e-07	0	0	69.0	3.8154366	0.012112213	23000	118.98094177246094
23	-172.6329	36.749817	-135.88309	-209.38272	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-26.63866	3.8270996	-20.04151	-31.40036	-0.0012950796	0.0011040634	0.0014789561	-0.0037111053	8.732081e-08	-0.013798331	5.122274e-12	1.1975586e-06	126.139015	-77.64395	1.2152553e-06	-1.09854e-06	0	0	79.0	3.8011477	0.008064205	24000	124.4332799911499
24	-172.02892	38.49472	-133.5342	-210.52364	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-34.821022	0.641846	-33.590565	-36.36331	0.0011459255	0.00065203523	0.0021080286	-0.0005524377	1.6629697e-08	-0.015897026	-1.0506483e-11	2.6633452e-06	115.516655	-16.668396	8.452105e-07	-7.760651e-07	0	0	79.0	3.7844906	0.009998436	25000	129.8109266757965
25	-99.34143	69.358154	-29.983282	-168.69958	0.0	0.0	0.0	0.0	321.0	0.0	0.0	-34.569057	1.230907	-32.33235	-37.05001	0.0008124676	0.0006044954	0.0022674073	-0.00036860892	-1.859665e-08	-0.0057764966	-3.958121e-12	-9.369517e-07	106.40514	-49.68122	3.8448087e-07	-3.313118e-07	0	0	7.0	3.7437654	0.019613722	26000	135.26386904716492
26	-96.919975	70.2286	-26.691378	-167.14857	0.0	0.0	0.0	0.0	329.5	0.0	0.0	-24.093472	2.0395927	-20.658339	-30.185143	-0.0006803827	0.00041477283	0.00034304766	-0.0013318745	-1.0251999e-08	-0.002287512	-4.612957e-12	-1.4154695e-07	94.055885	-30.704048	3.0419434e-07	-2.843278e-07	0	0	6.0	3.7450116	0.015304698	27000	140.86977529525757
27	-149.29187	13.85511	-135.43675	-163.14697	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-20.50431	11.6145315	-6.175864	-34.800518	-0.00041885665	0.00034840254	0.00039748804	-0.0012580361	1.090765e-08	-0.015766637	-1.13941495e-11	4.3757066e-07	186.27025	-156.98305	1.1408728e-07	-9.878513e-08	0	0	79.0	3.7445552	0.011806168	28000	146.28857970237732
28	-128.35223	92.80109	-35.551163	-221.15332	0.0	0.0	0.0	0.0	341.5	0.0	0.0	-28.240383	1.5696766	-24.786419	-31.423939	-0.00042169978	0.0011104066	0.0008344541	-0.0038161792	6.389618e-08	-0.0119181825	1.3096724e-12	-5.019516e-07	188.2077	-63.506516	2.4287746e-07	-2.2197723e-07	0	0	74.0	3.7311025	0.012083672	29000	151.98260951042175
29	-177.0484	70.22793	-106.820465	-247.27632	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-28.458399	4.0485725	-23.346962	-34.36151	-0.001520311	0.0020201367	0.00035577713	-0.006298775	5.334616e-09	-0.013033082	7.4214766e-13	-1.8291692e-06	289.0833	-130.61668	2.1820706e-06	-1.9211968e-06	0	0	79.0	3.6868424	0.009246378	30000	157.5209777355194
30	-106.16506	57.42794	-48.737125	-163.593	0.0	0.0	0.0	0.0	336.5	0.0	0.0	-36.612804	1.4054338	-32.54915	-37.627186	0.0013185244	0.000989526	0.0033527017	-0.0017324218	-1.692772e-08	-0.010845912	8.2945917e-13	-7.1658565e-06	165.12022	-127.02323	1.3660402e-06	-6.8000065e-07	0	0	5.0	3.693889	0.017264584	31000	163.06771540641785
31	-174.23428	26.741951	-147.49234	-200.97624	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-27.280622	1.17037	-25.39549	-29.48569	-0.0008561112	0.0019844507	0.0015019559	-0.003668	-3.4809112e-08	-0.0069392896	1.2223608e-11	5.3592025e-06	73.642654	-18.06287	2.7968244e-06	-2.6671235e-06	0	0	5.0	3.6949506	0.013700321	32000	168.39707159996033
32	-100.30308	89.30087	-31.896296	-226.44315	0.0	0.0	0.0	0.0	288.33334	0.0	0.0	-25.734352	2.9210346	-18.053871	-31.85256	-0.0007226348	0.00069722004	0.00037010555	-0.0018208293	-1.0997057e-08	-0.010379908	-8.236384e-12	-9.029345e-07	191.70724	-89.31937	5.8772906e-07	-5.222604e-07	0	0	79.0	3.6934724	0.008406673	33000	174.37525415420532
33	-133.15808	22.898666	-110.259415	-156.05675	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-29.761988	1.006217	-28.103186	-31.73855	-0.00023534297	0.0002448345	5.9679875e-05	-0.0011798956	-3.2514333e-08	-0.013265852	3.0777301e-12	-9.992906e-07	41.23887	-27.216084	3.0381536e-08	-2.3262094e-08	0	0	79.0	3.7170634	0.009163227	34000	179.85715985298157
34	-120.75499	81.24385	-39.511143	-201.99884	0.0	0.0	0.0	0.0	335.0	0.0	0.0	-14.986135	13.657221	4.406678	-31.370846	0.00013047546	0.0004893358	0.0010272535	-0.00084176933	-5.185604e-08	-0.00492419	-5.7334545e-12	-1.6634449e-07	136.61462	-89.5482	1.5723367e-07	-1.3154971e-07	0	0	7.0	3.7070498	0.011134747	35000	185.58335375785828
35	-89.300705	50.89572	-38.40498	-140.19643	0.0	0.0	0.0	0.0	344.5	0.0	0.0	-31.441813	4.5423374	-19.431664	-35.061768	0.000244668	0.0002927128	0.0007671246	-0.0003833023	1.45435335e-08	-0.011507273	-5.304173e-12	6.522921e-07	65.15156	-54.065517	9.889975e-08	-8.329513e-08	0	0	79.0	3.7064757	0.006658527	36000	191.42128467559814
36	-70.7606	42.279243	-28.481352	-113.03984	0.0	0.0	0.0	0.0	327.0	0.0	0.0	-19.593369	7.891909	-6.9791427	-32.016468	0.00010643096	0.0006552545	0.0025179854	-0.0009554436	1.4424324e-08	-0.014857325	2.6775524e-12	-8.4215964e-07	40.753227	-17.20106	3.4745906e-08	-2.2756584e-08	0	0	79.0	3.6722581	0.0093521215	37000	197.27246642112732
37	-115.83083	75.359474	-40.471363	-191.1903	0.0	0.0	0.0	0.0	344.0	0.0	0.0	-26.148512	8.115938	-5.807545	-32.442543	0.0012210121	0.0009964973	0.0035319212	-0.0008070617	2.3722649e-08	-0.012084135	-1.5308615e-11	-1.8062914e-06	62.993156	-9.164078	6.3092995e-07	-5.801969e-07	0	0	79.0	3.631537	0.009266722	38000	203.11068844795227
38	-124.63321	0.12166214	-124.51155	-124.754875	0.0	0.0	0.0	0.0	497.5	0.0	0.0	-24.934826	2.0746741	-15.646129	-31.509878	-0.0009930523	0.0007210224	0.0012400859	-0.0029335802	-4.2796135e-08	-0.0048488346	-3.4924596e-12	4.024608e-06	75.092514	-54.46833	1.493322e-06	-1.4725576e-06	0	0	6.0	3.633065	0.0099484995	39000	208.9089286327362
39	-149.02815	21.245804	-127.78235	-170.27396	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-20.440079	6.7710977	-10.974811	-33.57827	-0.00092146656	0.00045938967	0.000428589	-0.0015523732	-8.9913605e-08	-0.0065482915	7.275958e-12	-8.231614e-07	50.008152	-40.252743	5.990481e-07	-5.7370323e-07	0	0	5.0	3.6335168	0.014439961	40000	214.50528216362
40	-122.003845	4.089657	-117.914185	-126.0935	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-26.515985	4.313712	-20.222631	-34.481594	0.0011541379	0.001223452	0.0047472925	-0.0004318675	1.5437603e-08	-0.010057995	8.221832e-13	-1.7471917e-06	39.13918	-26.96976	6.806329e-07	-6.393204e-07	0	0	79.0	3.6331193	0.010481052	41000	220.2541527748108
41	-167.4397	30.010918	-137.42879	-197.45062	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-24.124817	1.9997244	-20.727468	-30.216171	-8.656737e-05	0.0011548839	0.0023614254	-0.0024097287	6.341934e-08	-0.009283623	8.061761e-12	-7.295862e-07	163.41545	-107.79054	6.325743e-07	-5.790029e-07	0	0	79.0	3.6824095	0.008986393	42000	225.95755457878113
42	-119.64491	1.3241043	-118.32081	-120.96902	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-27.719067	3.825656	-21.0654	-32.92712	4.711777e-05	0.0008018528	0.0011787642	-0.0012159316	9.1195105e-09	-0.004097364	-8.221832e-13	-1.5793702e-07	34.36643	-27.384789	3.3295746e-07	-3.058335e-07	0	0	4.0	3.6809273	0.01463454	43000	231.4939317703247
43	-180.55536	10.357925	-170.19743	-190.91328	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-22.75102	2.981081	-17.697105	-26.952133	0.00040488772	0.0011287228	0.0018966871	-0.0009571191	6.4134596e-08	-0.0058524814	1.3838871e-11	9.956805e-07	144.81166	-121.275345	9.724428e-07	-8.8298276e-07	0	0	5.0	3.6791863	0.0155542735	44000	237.05941367149353
44	-135.21715	115.947525	-19.269629	-251.16467	0.0	0.0	0.0	0.0	300.5	0.0	0.0	-32.35544	1.885986	-27.430569	-34.379906	-0.00056864467	0.00047861921	0.00028012166	-0.0019122201	-4.6491624e-09	-0.0099133905	-1.6007107e-12	-4.6038622e-07	281.50412	-73.82965	1.8409433e-07	-1.4383825e-07	0	0	79.0	3.6771088	0.008279225	45000	243.13869833946228
45	-149.26628	126.45552	-22.810757	-275.7218	0.0	0.0	0.0	0.0	300.5	0.0	0.0	-35.957043	0.53567016	-35.284992	-36.648632	0.00026761	0.000609827	0.0015186333	-0.00058693154	-1.1563301e-08	-0.005807427	-6.4610504e-12	8.714832e-07	280.596	-23.927032	4.2889454e-07	-3.7798773e-07	0	0	4.0	3.668587	0.01966079	46000	248.98064255714417
46	-199.29492	13.767227	-185.5277	-213.06215	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-35.680004	1.2399994	-34.09516	-37.349087	-0.00041052172	0.00042158502	0.0005461027	-0.0012046645	-5.042553e-08	-0.004324409	2.561137e-12	-2.4430472e-07	19.853746	-12.44284	1.4685318e-07	-1.2717287e-07	0	0	3.0	3.6687622	0.02105136	47000	254.66915154457092
