Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-519.8246	26.806793	-493.01776	-546.63135	0.0	0.0	0.0	0.0	500.0	0.0	0.0	0.047562957	0.026281852	0.10222558	0.00016379543	0.16045819	0.07909168	0.26829085	-0.026151646	5.2452087e-09	-0.011228185	7.497147e-10	0.0002289396	8580.698	-2395.505	0.018052198	-0.017266639	0	0	79.0	3.675754	0.007998675	1000	1.4975390434265137
1	-482.871	77.08493	-405.78607	-559.95593	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-14.430637	0.39610565	-13.406283	-14.880723	0.033939704	0.046111878	0.12680103	-0.03658111	-6.818772e-08	-0.006212836	-1.8253922e-10	0.00017205212	5708.0894	-996.0508	0.00097578723	-0.000903056	0	0	4.0	3.6465478	0.02183267	2000	2.4212646484375
2	-391.26392	28.342667	-362.92126	-419.6066	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-21.774414	0.11861755	-21.487349	-21.898407	0.006126027	0.014791171	0.04704813	-0.018334469	-7.545948e-08	-0.012782608	5.867332e-11	-8.127198e-05	2505.505	-421.28174	0.00010983577	-9.542696e-05	0	0	79.0	3.6449535	0.008822531	3000	3.4694197177886963
3	-444.122	10.17627	-433.94574	-454.29828	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-26.393053	0.051170483	-26.22719	-26.449007	0.015481438	0.017610775	0.066632256	-0.005113712	6.139278e-08	-0.01604456	-9.103678e-11	4.637076e-06	3236.974	-521.57764	6.091946e-05	-4.959267e-05	0	0	79.0	3.6558201	0.0077073127	4000	4.498290300369263
4	-466.25824	34.96318	-431.29504	-501.2214	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-31.394691	0.03559585	-31.306126	-31.431684	0.011984091	0.014696019	0.046691835	-0.01817127	1.9073487e-09	-0.012741358	7.450581e-12	3.037494e-05	3013.2236	-500.68774	4.517582e-05	-3.622965e-05	0	0	79.0	3.6494212	0.0071222004	5000	5.570694446563721
5	-403.77072	24.46701	-379.3037	-428.23773	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-36.354992	0.030747626	-36.274353	-36.390945	0.0068022506	0.0120352525	0.042268384	-0.008517854	-3.7789345e-08	-0.012672726	6.949995e-11	1.5601912e-05	1780.7517	-299.14722	2.6726024e-05	-2.031914e-05	0	0	79.0	3.6352024	0.008036768	6000	6.636549711227417
6	-397.8645	21.619156	-376.24533	-419.48364	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-40.329296	0.021306809	-40.269905	-40.350502	0.0071917837	0.0070560584	0.027769556	-0.001418625	1.5318393e-07	-0.004178815	7.916242e-11	-1.1976775e-06	1283.9253	-220.58704	1.2044983e-05	-9.405369e-06	0	0	4.0	3.6331098	0.015505971	7000	7.634641170501709
7	-336.6894	32.071426	-304.61795	-368.7608	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-43.79836	0.019615032	-43.735977	-43.81594	0.0030638266	0.005286893	0.01587972	-0.003926347	-1.513362e-07	-0.008445956	-5.2386897e-12	4.89963e-06	482.88586	-87.74841	5.850678e-06	-4.208655e-06	0	0	79.0	3.632711	0.0072112656	8000	8.700712203979492
8	-357.86377	16.491714	-341.37204	-374.35547	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-46.117897	0.014874714	-46.077682	-46.131245	0.0021098163	0.0034648324	0.0113461055	-0.0034023514	6.5743926e-08	-0.004531167	-9.546057e-12	4.5164297e-06	544.9172	-104.66498	2.0183354e-06	-1.4742004e-06	0	0	5.0	3.5991044	0.010765669	9000	9.703260898590088
9	-249.00333	0.9408951	-248.06244	-249.94423	0.0	0.0	0.0	0.0	500.0	0.0	0.0	-48.624252	0.022151321	-48.5465	-48.644157	0.00071845244	0.0015942736	0.0058841268	-0.001935293	-1.859665e-08	-0.012797841	-1.1466909e-11	8.504113e-07	37.251793	0.2992134	4.5868092e-07	-3.0491708e-07	0	0	79.0	3.5968103	0.009122807	10000	10.802485466003418
